epiweek,region,first-observed-wili,final-observed-wili
201202,hhs4,1.2369999885559,1.49847
201203,hhs4,1.5119999647141,1.71568
201204,hhs4,1.5759999752045,1.74681
201205,hhs4,1.5379999876022,1.81695
201206,hhs4,1.5740000009537,1.91518
201207,hhs4,1.8869999647141,2.04734
201208,hhs4,1.8099999427795,1.98634
201209,hhs4,1.9129999876022,2.05788
201210,hhs4,2.1099998950958,2.25509
201211,hhs4,2.0120000839233,2.16834
201212,hhs4,1.74899995327,1.87943
201213,hhs4,1.6380000114441,1.65327
201214,hhs4,1.4939999580383,1.56245
201215,hhs4,1.3559999465942,1.43713
201216,hhs4,1.2000000476837,1.39023
201217,hhs4,1.1920000314713,1.3119
201218,hhs4,1.1100000143051,1.4572
201219,hhs4,1.1080000400543,1.35872
201220,hhs4,1.1490000486374,1.44199
201141,hhs5,0.84200000762939,0.943071
201142,hhs5,1.0440000295639,1.05026
201143,hhs5,1.0260000228882,0.998187
201144,hhs5,1.1200000047684,1.0916
201145,hhs5,1.2120000123978,1.11771
201146,hhs5,1.0670000314713,1.02063
201147,hhs5,1.3140000104904,1.24569
201148,hhs5,0.91799998283386,1.05945
201149,hhs5,1.0509999990463,1.0058
201150,hhs5,1.1449999809265,1.14913
201151,hhs5,1.4479999542236,1.24805
201152,hhs5,1.6150000095367,1.54444
201201,hhs5,1.1360000371933,1.24644
201202,hhs5,1.0080000162125,1.15541
201203,hhs5,1.1109999418259,1.17979
201204,hhs5,1.1399999856949,1.2699
201205,hhs5,1.3639999628067,1.45574
201206,hhs5,1.5249999761581,1.39672
201207,hhs5,1.5789999961853,1.55473
201208,hhs5,1.7419999837875,1.77323
201209,hhs5,1.6859999895096,1.81172
201210,hhs5,1.7760000228882,2.04753
201211,hhs5,2.1700000762939,2.39583
201212,hhs5,1.654000043869,1.88008
201213,hhs5,1.1579999923706,1.34651
201214,hhs5,1.0900000333786,1.44358
201215,hhs5,0.97000002861023,1.15046
201216,hhs5,1.1699999570847,1.0351
201217,hhs5,0.77899998426437,0.935815
201218,hhs5,1.0629999637604,1.04643
201219,hhs5,1.0599999427795,0.959535
201220,hhs5,0.78299999237061,0.815303
201141,hhs6,1.720999956131,1.68396
201142,hhs6,1.944000005722,1.94358
