component_model_id,season,target,weight
CU-EKF_SIRS,2011/2012,3 wk ahead,7.93877907430498e-05
CU-RHF_SEIRS,2011/2012,3 wk ahead,0.0360019692480634
CU-RHF_SIRS,2011/2012,3 wk ahead,5.65767928328832e-09
Delphi-BasisRegression,2011/2012,3 wk ahead,1.28009794749204e-220
Delphi-DeltaDensity1,2011/2012,3 wk ahead,0.505031004090374
Delphi-DeltaDensity2,2011/2012,3 wk ahead,0.0130775385082902
Delphi-EmpiricalBayes1,2011/2012,3 wk ahead,0.0475340187577424
Delphi-EmpiricalBayes2,2011/2012,3 wk ahead,1.24335671420817e-19
Delphi-EmpiricalFuture,2011/2012,3 wk ahead,5.58646882194623e-82
Delphi-EmpiricalTraj,2011/2012,3 wk ahead,5.58646882194623e-82
Delphi-Stat,2011/2012,3 wk ahead,9.4076980551074e-11
Delphi-Uniform,2011/2012,3 wk ahead,1.12884838510644e-270
LANL-DBM,2011/2012,3 wk ahead,5.39398816068471e-22
ReichLab-KCDE,2011/2012,3 wk ahead,4.42959673387006e-19
ReichLab-KDE,2011/2012,3 wk ahead,4.13893400504903e-66
ReichLab-SARIMA1,2011/2012,3 wk ahead,7.07053358094876e-46
ReichLab-SARIMA2,2011/2012,3 wk ahead,1.95723616164294e-20
CU-BMA,2012/2013,3 wk ahead,0.0840486044630736
CU-EAKFC_SEIRS,2012/2013,3 wk ahead,0.218945453171989
CU-EAKFC_SIRS,2012/2013,3 wk ahead,2.10298596138864e-10
CU-EKF_SEIRS,2012/2013,3 wk ahead,0.192680231229585
CU-EKF_SIRS,2012/2013,3 wk ahead,3.7125492281174e-10
CU-RHF_SEIRS,2012/2013,3 wk ahead,0.00410393773042131
CU-RHF_SIRS,2012/2013,3 wk ahead,8.36854288975841e-16
Delphi-BasisRegression,2012/2013,3 wk ahead,0
Delphi-DeltaDensity1,2012/2013,3 wk ahead,0.354754233659839
Delphi-DeltaDensity2,2012/2013,3 wk ahead,0.0943933744855461
Delphi-EmpiricalBayes1,2012/2013,3 wk ahead,0.0510741646779914
Delphi-EmpiricalBayes2,2012/2013,3 wk ahead,1.24431889750034e-41
Delphi-EmpiricalFuture,2012/2013,3 wk ahead,1.38206551322283e-164
Delphi-EmpiricalTraj,2012/2013,3 wk ahead,1.38206551322283e-164
Delphi-Stat,2012/2013,3 wk ahead,3.70826422557344e-19
Delphi-Uniform,2012/2013,3 wk ahead,0
LANL-DBM,2012/2013,3 wk ahead,2.49840443197763e-38
ReichLab-KCDE,2012/2013,3 wk ahead,1.85843579000858e-31
ReichLab-KDE,2012/2013,3 wk ahead,6.92433386921143e-120
ReichLab-SARIMA1,2012/2013,3 wk ahead,2.39316458591582e-69
ReichLab-SARIMA2,2012/2013,3 wk ahead,2.27130599140757e-37
CU-BMA,2013/2014,3 wk ahead,0.0700693427060737
CU-EAKFC_SEIRS,2013/2014,3 wk ahead,0.0841362414614631
CU-EAKFC_SIRS,2013/2014,3 wk ahead,1.09699586064279e-05
CU-EKF_SEIRS,2013/2014,3 wk ahead,0.283471598465748
CU-EKF_SIRS,2013/2014,3 wk ahead,2.35994856321985e-05
CU-RHF_SEIRS,2013/2014,3 wk ahead,0.0690494431487208
CU-RHF_SIRS,2013/2014,3 wk ahead,2.59449975038522e-08
Delphi-BasisRegression,2013/2014,3 wk ahead,7.73218720038351e-198
Delphi-DeltaDensity1,2013/2014,3 wk ahead,0.410840354846578
Delphi-DeltaDensity2,2013/2014,3 wk ahead,0.0269447766248337
Delphi-EmpiricalBayes1,2013/2014,3 wk ahead,0.0554536470615867
Delphi-EmpiricalBayes2,2013/2014,3 wk ahead,3.71301226355141e-22
Delphi-EmpiricalFuture,2013/2014,3 wk ahead,1.85228781255403e-81
Delphi-EmpiricalTraj,2013/2014,3 wk ahead,1.85228781255403e-81
Delphi-Stat,2013/2014,3 wk ahead,2.95759706937514e-10
Delphi-Uniform,2013/2014,3 wk ahead,9.86241704761379e-240
LANL-DBM,2013/2014,3 wk ahead,1.76818217503086e-18
ReichLab-KCDE,2013/2014,3 wk ahead,8.08949919160476e-16
ReichLab-KDE,2013/2014,3 wk ahead,1.165773388411e-58
ReichLab-SARIMA1,2013/2014,3 wk ahead,3.88050121433356e-35
ReichLab-SARIMA2,2013/2014,3 wk ahead,1.45984151666964e-21
CU-BMA,2014/2015,3 wk ahead,0.0821373048377787
CU-EAKFC_SEIRS,2014/2015,3 wk ahead,0.0663333207825294
CU-EAKFC_SIRS,2014/2015,3 wk ahead,4.3668453589832e-07
CU-EKF_SEIRS,2014/2015,3 wk ahead,0.289512320938665
CU-EKF_SIRS,2014/2015,3 wk ahead,2.75907938338747e-05
CU-RHF_SEIRS,2014/2015,3 wk ahead,0.0308485742809373
CU-RHF_SIRS,2014/2015,3 wk ahead,1.8753191735481e-06
