component_model_id,season,target,weight
CU-EKF_SEIRS,2014/2015,Season peak week,9.78564666363628e-05
CU-EKF_SEIRS,2014/2015,Season peak percentage,9.78564666363628e-05
CU-EKF_SIRS,2014/2015,Season onset,2.66504107694842e-05
CU-EKF_SIRS,2014/2015,Season peak week,2.66504107694842e-05
CU-EKF_SIRS,2014/2015,Season peak percentage,2.66504107694842e-05
CU-RHF_SEIRS,2014/2015,Season onset,2.07841840289891e-05
CU-RHF_SEIRS,2014/2015,Season peak week,2.07841840289891e-05
CU-RHF_SEIRS,2014/2015,Season peak percentage,2.07841840289891e-05
CU-RHF_SIRS,2014/2015,Season onset,0.00212062728288137
CU-RHF_SIRS,2014/2015,Season peak week,0.00212062728288137
CU-RHF_SIRS,2014/2015,Season peak percentage,0.00212062728288137
Delphi-BasisRegression,2014/2015,Season onset,6.15938981521016e-67
Delphi-BasisRegression,2014/2015,Season peak week,6.15938981521016e-67
Delphi-BasisRegression,2014/2015,Season peak percentage,6.15938981521016e-67
Delphi-DeltaDensity1,2014/2015,Season onset,1.13616930345596e-29
Delphi-DeltaDensity1,2014/2015,Season peak week,1.13616930345596e-29
Delphi-DeltaDensity1,2014/2015,Season peak percentage,1.13616930345596e-29
Delphi-DeltaDensity2,2014/2015,Season onset,2.94016069914772e-42
Delphi-DeltaDensity2,2014/2015,Season peak week,2.94016069914772e-42
Delphi-DeltaDensity2,2014/2015,Season peak percentage,2.94016069914772e-42
Delphi-EmpiricalBayes1,2014/2015,Season onset,2.12511937866951e-32
Delphi-EmpiricalBayes1,2014/2015,Season peak week,2.12511937866951e-32
Delphi-EmpiricalBayes1,2014/2015,Season peak percentage,2.12511937866951e-32
Delphi-EmpiricalBayes2,2014/2015,Season onset,1.8608094214532e-34
Delphi-EmpiricalBayes2,2014/2015,Season peak week,1.8608094214532e-34
Delphi-EmpiricalBayes2,2014/2015,Season peak percentage,1.8608094214532e-34
Delphi-EmpiricalFuture,2014/2015,Season onset,0.0135866397553498
Delphi-EmpiricalFuture,2014/2015,Season peak week,0.0135866397553498
Delphi-EmpiricalFuture,2014/2015,Season peak percentage,0.0135866397553498
Delphi-EmpiricalTraj,2014/2015,Season onset,1.32379070882893e-20
Delphi-EmpiricalTraj,2014/2015,Season peak week,1.32379070882893e-20
Delphi-EmpiricalTraj,2014/2015,Season peak percentage,1.32379070882893e-20
Delphi-Stat,2014/2015,Season onset,7.62734729699448e-37
Delphi-Stat,2014/2015,Season peak week,7.62734729699448e-37
Delphi-Stat,2014/2015,Season peak percentage,7.62734729699448e-37
Delphi-Uniform,2014/2015,Season onset,1.11732974696515e-69
Delphi-Uniform,2014/2015,Season peak week,1.11732974696515e-69
Delphi-Uniform,2014/2015,Season peak percentage,1.11732974696515e-69
LANL-DBM,2014/2015,Season onset,0.638553333870352
LANL-DBM,2014/2015,Season peak week,0.638553333870352
LANL-DBM,2014/2015,Season peak percentage,0.638553333870352
ReichLab-KCDE,2014/2015,Season onset,0.247737711972929
ReichLab-KCDE,2014/2015,Season peak week,0.247737711972929
ReichLab-KCDE,2014/2015,Season peak percentage,0.247737711972929
ReichLab-KDE,2014/2015,Season onset,0.0381687531549597
ReichLab-KDE,2014/2015,Season peak week,0.0381687531549597
ReichLab-KDE,2014/2015,Season peak percentage,0.0381687531549597
