component_model_id,season,location,target,weight
Protea-Cheetah,2010/20112019/2020,HHS Region 3,Season onset,0.12077193587616256
Protea-Kudu,2010/20112019/2020,HHS Region 3,Season onset,0.009493309716607716
Protea-Springbok,2010/20112019/2020,HHS Region 3,Season onset,0.3156268421180886
ReichLab-KCDE_NB,2010/20112019/2020,HHS Region 3,Season onset,0.01304929984924199
UA-EpiCos,2010/20112019/2020,HHS Region 3,Season onset,0.01796262219859272
CU-BMA,2010/20112019/2020,HHS Region 3,Season peak week,0.13315661673888446
FluOutlook-Mech,2010/20112019/2020,HHS Region 3,Season peak week,0.057932075789604395
FluOutlook-MechAug,2010/20112019/2020,HHS Region 3,Season peak week,0.0616968468909279
FluX-ARLR,2010/20112019/2020,HHS Region 3,Season peak week,0.010547461236838281
FluX-FluX_LSTM,2010/20112019/2020,HHS Region 3,Season peak week,0.024956097331692385
LANL-DBMplus,2010/20112019/2020,HHS Region 3,Season peak week,0.5032271844426691
Protea-Cheetah,2010/20112019/2020,HHS Region 3,Season peak week,0.07717449011101399
Protea-Kudu,2010/20112019/2020,HHS Region 3,Season peak week,0.01378859805767768
Protea-Springbok,2010/20112019/2020,HHS Region 3,Season peak week,0.08017489580045631
ReichLab-KCDE_NB,2010/20112019/2020,HHS Region 3,Season peak week,0.021565117133215583
UA-EpiCos,2010/20112019/2020,HHS Region 3,Season peak week,0.015780616467019858
CU-BMA,2010/20112019/2020,HHS Region 3,Season peak percentage,0.04768878584602772
FluOutlook-Mech,2010/20112019/2020,HHS Region 3,Season peak percentage,0.019852284245527946
FluOutlook-MechAug,2010/20112019/2020,HHS Region 3,Season peak percentage,0.026153415382217486
FluX-ARLR,2010/20112019/2020,HHS Region 3,Season peak percentage,0.012578629226956689
FluX-FluX_LSTM,2010/20112019/2020,HHS Region 3,Season peak percentage,0.02561414819832047
LANL-DBMplus,2010/20112019/2020,HHS Region 3,Season peak percentage,0.39710718694706676
Protea-Cheetah,2010/20112019/2020,HHS Region 3,Season peak percentage,0.078974901530847
Protea-Kudu,2010/20112019/2020,HHS Region 3,Season peak percentage,0.02189222366043246
Protea-Springbok,2010/20112019/2020,HHS Region 3,Season peak percentage,0.27656000691549476
ReichLab-KCDE_NB,2010/20112019/2020,HHS Region 3,Season peak percentage,0.043547524759756734
UA-EpiCos,2010/20112019/2020,HHS Region 3,Season peak percentage,0.050030893287352086
CU-BMA,2010/20112019/2020,HHS Region 3,1 wk ahead,0.02711375142674585
FluOutlook-Mech,2010/20112019/2020,HHS Region 3,1 wk ahead,0.09596853927378685
FluOutlook-MechAug,2010/20112019/2020,HHS Region 3,1 wk ahead,0.13522915887861484
FluX-ARLR,2010/20112019/2020,HHS Region 3,1 wk ahead,0.023316072655200467
FluX-FluX_LSTM,2010/20112019/2020,HHS Region 3,1 wk ahead,0.025247528409891907
LANL-DBMplus,2010/20112019/2020,HHS Region 3,1 wk ahead,0.2318189508071707
Protea-Cheetah,2010/20112019/2020,HHS Region 3,1 wk ahead,0.1473623567134913
Protea-Kudu,2010/20112019/2020,HHS Region 3,1 wk ahead,0.017735234171760424
Protea-Springbok,2010/20112019/2020,HHS Region 3,1 wk ahead,0.16104367152727242
ReichLab-KCDE_NB,2010/20112019/2020,HHS Region 3,1 wk ahead,0.06540473854656906
UA-EpiCos,2010/20112019/2020,HHS Region 3,1 wk ahead,0.0697599975894961
CU-BMA,2010/20112019/2020,HHS Region 3,2 wk ahead,0.03344754773572333
FluOutlook-Mech,2010/20112019/2020,HHS Region 3,2 wk ahead,0.07887845383331989
FluOutlook-MechAug,2010/20112019/2020,HHS Region 3,2 wk ahead,0.13825868121489096
FluX-ARLR,2010/20112019/2020,HHS Region 3,2 wk ahead,0.020185931661386353
FluX-FluX_LSTM,2010/20112019/2020,HHS Region 3,2 wk ahead,0.034041266797473796
LANL-DBMplus,2010/20112019/2020,HHS Region 3,2 wk ahead,0.12574856274671706
Protea-Cheetah,2010/20112019/2020,HHS Region 3,2 wk ahead,0.15016711737753805
Protea-Kudu,2010/20112019/2020,HHS Region 3,2 wk ahead,0.02786548517879554
Protea-Springbok,2010/20112019/2020,HHS Region 3,2 wk ahead,0.20252713647193274
ReichLab-KCDE_NB,2010/20112019/2020,HHS Region 3,2 wk ahead,0.10824214768543591
UA-EpiCos,2010/20112019/2020,HHS Region 3,2 wk ahead,0.08063766929678633
CU-BMA,2010/20112019/2020,HHS Region 3,3 wk ahead,0.05180054001252974
FluOutlook-Mech,2010/20112019/2020,HHS Region 3,3 wk ahead,0.05137499613092852
FluOutlook-MechAug,2010/20112019/2020,HHS Region 3,3 wk ahead,0.13446654278382064
FluX-ARLR,2010/20112019/2020,HHS Region 3,3 wk ahead,0.018314186964756236
FluX-FluX_LSTM,2010/20112019/2020,HHS Region 3,3 wk ahead,0.044098747838966786
LANL-DBMplus,2010/20112019/2020,HHS Region 3,3 wk ahead,0.09426823962444712
Protea-Cheetah,2010/20112019/2020,HHS Region 3,3 wk ahead,0.14354225878678545
Protea-Kudu,2010/20112019/2020,HHS Region 3,3 wk ahead,0.04000363757785352
Protea-Springbok,2010/20112019/2020,HHS Region 3,3 wk ahead,0.2074626631223588
ReichLab-KCDE_NB,2010/20112019/2020,HHS Region 3,3 wk ahead,0.16307612866197072
UA-EpiCos,2010/20112019/2020,HHS Region 3,3 wk ahead,0.051592058495582495
CU-BMA,2010/20112019/2020,HHS Region 3,4 wk ahead,0.030533506695970984
FluOutlook-Mech,2010/20112019/2020,HHS Region 3,4 wk ahead,0.05805318370007146
FluOutlook-MechAug,2010/20112019/2020,HHS Region 3,4 wk ahead,0.08053868400807698
FluX-ARLR,2010/20112019/2020,HHS Region 3,4 wk ahead,0.017772068861304217
FluX-FluX_LSTM,2010/20112019/2020,HHS Region 3,4 wk ahead,0.04931393352129816
LANL-DBMplus,2010/20112019/2020,HHS Region 3,4 wk ahead,0.06543566197030602
Protea-Cheetah,2010/20112019/2020,HHS Region 3,4 wk ahead,0.1492393799826932
Protea-Kudu,2010/20112019/2020,HHS Region 3,4 wk ahead,0.05916607959015307
Protea-Springbok,2010/20112019/2020,HHS Region 3,4 wk ahead,0.2075490613484377
ReichLab-KCDE_NB,2010/20112019/2020,HHS Region 3,4 wk ahead,0.20465180040125672
UA-EpiCos,2010/20112019/2020,HHS Region 3,4 wk ahead,0.07774663992043156
CU-BMA,2010/20112019/2020,HHS Region 4,Season onset,0.23797412376786015
FluOutlook-Mech,2010/20112019/2020,HHS Region 4,Season onset,0.0317155120076695
FluOutlook-MechAug,2010/20112019/2020,HHS Region 4,Season onset,0.04180300102586864
FluX-ARLR,2010/20112019/2020,HHS Region 4,Season onset,0.010533884160544618
FluX-FluX_LSTM,2010/20112019/2020,HHS Region 4,Season onset,0.10701643501303192
LANL-DBMplus,2010/20112019/2020,HHS Region 4,Season onset,0.06485304396701733
Protea-Cheetah,2010/20112019/2020,HHS Region 4,Season onset,0.13619524576230768
Protea-Kudu,2010/20112019/2020,HHS Region 4,Season onset,0.016400347416395678
Protea-Springbok,2010/20112019/2020,HHS Region 4,Season onset,0.28274717395774096
ReichLab-KCDE_NB,2010/20112019/2020,HHS Region 4,Season onset,0.044004427632141165
UA-EpiCos,2010/20112019/2020,HHS Region 4,Season onset,0.02675680528942251
CU-BMA,2010/20112019/2020,HHS Region 4,Season peak week,0.09925019287395262
FluOutlook-Mech,2010/20112019/2020,HHS Region 4,Season peak week,0.03204875857814147
